placement_id,academic_year,student_id,company_id,offer_status,offered_ctc_lpa,primary_skill_at_hire,had_ai_data_skill
PLACE_00001,2024,USN_2025_042,COMP_013,Placed,7.00,SQL,0
PLACE_00002,2024,USN_2025_202,COMP_012,Placed,8.50,JAVA_BACKEND,0
PLACE_00003,2024,USN_2025_205,COMP_011,Placed,9.00,PYTHON,0
PLACE_00004,2024,USN_2025_207,COMP_012,Placed,8.50,JAVA_BACKEND,0
PLACE_00005,2024,USN_2025_211,COMP_013,Placed,7.00,PYTHON,0
PLACE_00006,2024,USN_2025_216,COMP_011,Placed,9.00,SQL,0
PLACE_00007,2024,USN_2025_220,COMP_012,Placed,8.50,JAVA_BACKEND,0
PLACE_00008,2024,USN_2025_221,COMP_012,Placed,8.50,SQL,0
PLACE_00009,2024,USN_2025_223,COMP_013,Placed,7.00,PYTHON,0
PLACE_00010,2024,USN_2025_232,COMP_011,Placed,9.00,SQL,0
PLACE_00011,2024,USN_2025_233,,Not Placed,0.00,PYTHON,0
PLACE_00012,2024,USN_2025_236,,Not Placed,0.00,PYTHON,0
PLACE_00013,2023,USN_2025_243,,Not Placed,0.00,PYTHON,0
PLACE_00014,2023,USN_2025_245,,Not Placed,0.00,PYTHON,0
PLACE_00015,2023,USN_2025_252,,Not Placed,0.00,PYTHON,0
PLACE_00016,2023,USN_2025_253,,Not Placed,0.00,PYTHON,0
PLACE_00017,2023,USN_2025_254,,Not Placed,0.00,PYTHON,0
PLACE_00018,2023,USN_2025_259,,Not Placed,0.00,PYTHON,0
PLACE_00019,2023,USN_2025_277,,Not Placed,0.00,PYTHON,0
PLACE_00020,2023,USN_2025_287,,Not Placed,0.00,PYTHON,0
PLACE_00021,2023,USN_2025_290,,Not Placed,0.00,PYTHON,0
PLACE_00022,2023,USN_2025_307,,Not Placed,0.00,PYTHON,0
PLACE_00023,2023,USN_2025_316,,Not Placed,0.00,PYTHON,0
PLACE_00024,2023,USN_2025_319,,Not Placed,0.00,PYTHON,0
PLACE_00025,2023,USN_2025_321,,Not Placed,0.00,PYTHON,0
PLACE_00026,2024,USN_2025_042,COMP_001,Placed,48.00,DATABRICKS_DE,1
PLACE_00027,2024,USN_2025_202,COMP_007,Placed,26.00,DATABRICKS_DE,1
PLACE_00028,2024,USN_2025_205,COMP_007,Placed,26.00,DATABRICKS_DE,1
PLACE_00029,2024,USN_2025_207,COMP_008,Placed,24.00,DATABRICKS_DE,1
PLACE_00030,2024,USN_2025_211,COMP_008,Placed,24.00,DATABRICKS_DE,1
PLACE_00031,2024,USN_2025_216,COMP_009,Placed,20.00,DATABRICKS_DE,1
PLACE_00032,2024,USN_2025_220,COMP_009,Placed,20.00,DATABRICKS_DE,1
PLACE_00033,2024,USN_2025_221,COMP_009,Placed,20.00,DATABRICKS_DE,1
PLACE_00034,2024,USN_2025_223,COMP_009,Placed,20.00,DATABRICKS_DE,1
PLACE_00035,2024,USN_2025_232,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00036,2024,USN_2025_233,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00037,2024,USN_2025_236,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00038,2024,USN_2025_243,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00039,2023,USN_2025_245,COMP_010,Placed,18.00,DATABRICKS_DE,1
PLACE_00040,2023,USN_2025_252,COMP_011,Placed,9.00,DATABRICKS_DE,1
PLACE_00041,2023,USN_2025_253,COMP_011,Placed,9.00,DATABRICKS_DE,1
PLACE_00042,2023,USN_2025_254,COMP_012,Placed,8.50,DATABRICKS_DE,1
PLACE_00043,2023,USN_2025_259,COMP_012,Placed,8.50,DATABRICKS_DE,1
PLACE_00044,2023,USN_2025_277,COMP_012,Placed,8.50,DATABRICKS_DE,1
