skill_id,student_id,skill_name,skill_category,proficiency_level,certified_flag
SSK_00001,USN_2025_001,SQL,Data Engineering & Cloud,Advanced,false
SSK_00002,USN_2025_001,PYTHON,Core Engineering,Advanced,true
SSK_00003,USN_2025_001,DATABRICKS_DE,Data Engineering & Cloud,Advanced,false
SSK_00004,USN_2025_001,AWS_CLOUD,Data Engineering & Cloud,Advanced,true
SSK_00005,USN_2025_002,REACT,Core Engineering,Intermediate,false
SSK_00006,USN_2025_002,CPP,Core Engineering,Advanced,true
SSK_00007,USN_2025_002,MACHINE_LEARNING,AI / GenAI,Advanced,true
SSK_00008,USN_2025_002,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00009,USN_2025_002,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
SSK_00010,USN_2025_003,JAVA_BACKEND,Core Engineering,Advanced,false
SSK_00011,USN_2025_003,CPP,Core Engineering,Intermediate,true
SSK_00012,USN_2025_003,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00013,USN_2025_003,VECTOR_DATABASES,AI / GenAI,Advanced,true
SSK_00014,USN_2025_004,CPP,Core Engineering,Intermediate,false
SSK_00015,USN_2025_004,PYTHON,Core Engineering,Beginner,false
SSK_00016,USN_2025_004,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00017,USN_2025_004,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
SSK_00018,USN_2025_004,MACHINE_LEARNING,AI / GenAI,Intermediate,false
SSK_00019,USN_2025_005,CPP,Core Engineering,Beginner,false
SSK_00020,USN_2025_005,SQL,Data Engineering & Cloud,Intermediate,false
SSK_00021,USN_2025_005,PYSPARK,Data Engineering & Cloud,Advanced,false
SSK_00022,USN_2025_005,AWS_CLOUD,Data Engineering & Cloud,Beginner,false
SSK_00023,USN_2025_005,LANGCHAIN,AI / GenAI,Advanced,false
SSK_00024,USN_2025_005,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00025,USN_2025_006,CPP,Core Engineering,Advanced,false
SSK_00026,USN_2025_006,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00027,USN_2025_006,AWS_CLOUD,Data Engineering & Cloud,Advanced,true
SSK_00028,USN_2025_006,VECTOR_DATABASES,AI / GenAI,Intermediate,true
SSK_00029,USN_2025_006,LANGCHAIN,AI / GenAI,Advanced,false
SSK_00030,USN_2025_006,PYSPARK,Data Engineering & Cloud,Intermediate,false
SSK_00031,USN_2025_007,JAVA_BACKEND,Core Engineering,Beginner,false
SSK_00032,USN_2025_007,CPP,Core Engineering,Advanced,false
SSK_00033,USN_2025_007,DATABRICKS_DE,Data Engineering & Cloud,Advanced,true
SSK_00034,USN_2025_008,SQL,Data Engineering & Cloud,Intermediate,false
SSK_00035,USN_2025_008,JAVA_BACKEND,Core Engineering,Advanced,true
SSK_00036,USN_2025_008,AWS_CLOUD,Data Engineering & Cloud,Advanced,true
SSK_00037,USN_2025_008,MACHINE_LEARNING,AI / GenAI,Advanced,true
SSK_00038,USN_2025_008,LANGCHAIN,AI / GenAI,Beginner,false
SSK_00039,USN_2025_008,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00040,USN_2025_009,SQL,Data Engineering & Cloud,Intermediate,true
SSK_00041,USN_2025_009,REACT,Core Engineering,Advanced,false
SSK_00042,USN_2025_009,VECTOR_DATABASES,AI / GenAI,Advanced,false
SSK_00043,USN_2025_009,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00044,USN_2025_009,DATABRICKS_DE,Data Engineering & Cloud,Intermediate,false
SSK_00045,USN_2025_009,LANGCHAIN,AI / GenAI,Advanced,false
SSK_00046,USN_2025_010,REACT,Core Engineering,Advanced,false
SSK_00047,USN_2025_010,CPP,Core Engineering,Advanced,false
SSK_00048,USN_2025_010,VECTOR_DATABASES,AI / GenAI,Beginner,true
SSK_00049,USN_2025_010,DATABRICKS_DE,Data Engineering & Cloud,Advanced,false
SSK_00050,USN_2025_011,JAVA_BACKEND,Core Engineering,Intermediate,false
SSK_00051,USN_2025_011,PYTHON,Core Engineering,Intermediate,false
SSK_00052,USN_2025_011,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00053,USN_2025_011,DATABRICKS_DE,Data Engineering & Cloud,Beginner,false
SSK_00054,USN_2025_011,AWS_CLOUD,Data Engineering & Cloud,Advanced,false
SSK_00055,USN_2025_011,LANGCHAIN,AI / GenAI,Intermediate,false
SSK_00056,USN_2025_012,SQL,Data Engineering & Cloud,Beginner,false
SSK_00057,USN_2025_012,JAVA_BACKEND,Core Engineering,Intermediate,false
SSK_00058,USN_2025_012,PYSPARK,Data Engineering & Cloud,Beginner,true
SSK_00059,USN_2025_012,GENAI_LLMS,AI / GenAI,Advanced,false
SSK_00060,USN_2025_012,AWS_CLOUD,Data Engineering & Cloud,Intermediate,false
